x,y
0.0,0.0
5e-05,0.00014
0.0001,0.00029
0.00015,0.00043
0.0002,0.00058
0.00025,0.00072
0.0003,0.00087
0.00035,0.00101
0.0004,0.00116
0.00045,0.0013
0.0005,0.00145
0.00055,0.00159
0.0006,0.00174
0.00065,0.00188
0.0007,0.00203
0.00075,0.00217
0.0008,0.00232
0.00085,0.00246
0.0009,0.00261
0.00095,0.00275
0.001,0.0029
0.00105,0.00304
0.0011,0.00319
0.00115,0.00334
0.0012,0.00348
0.00125,0.00363
0.0013,0.00377
0.00135,0.00392
0.0014,0.00406
0.00145,0.00421
0.0015,0.00435
0.00155,0.0045
0.0016,0.00465
0.00165,0.00479
0.0017,0.00494
0.00175,0.00508
0.0018,0.00523
0.00185,0.00537
0.0019,0.00552
0.00195,0.00567
0.002,0.00581
0.00205,0.00596
0.0021,0.0061
0.00215,0.00625
0.0022,0.0064
0.00225,0.00654
0.0023,0.00669
0.00235,0.00684
0.0024,0.00698
0.00245,0.00713
0.0025,0.00727
0.00255,0.00742
0.0026,0.00757
0.00265,0.00771
0.0027,0.00786
0.00275,0.00801
0.0028,0.00815
0.00285,0.0083
0.0029,0.00845
0.00295,0.00859
0.003,0.00874
0.00305,0.00889
0.0031,0.00903
0.00315,0.00918
0.0032,0.00933
0.00325,0.00947
0.0033,0.00962
0.00335,0.00977
0.0034,0.00991
0.00345,0.01006
0.0035,0.01021
0.00355,0.01035
0.0036,0.0105
0.00365,0.01065
0.0037,0.01079
0.00375,0.01094
0.0038,0.01109
0.00385,0.01124
0.0039,0.01138
0.00395,0.01153
0.004,0.01168
0.00405,0.01182
0.0041,0.01197
0.00415,0.01212
0.0042,0.01227
0.00425,0.01241
0.0043,0.01256
0.00435,0.01271
0.0044,0.01286
0.00445,0.013
0.0045,0.01315
0.00455,0.0133
0.0046,0.01344
0.00465,0.01359
0.0047,0.01374
0.00475,0.01389
0.0048,0.01404
0.00485,0.01418
0.0049,0.01433
0.00495,0.01448
0.005,0.01463
0.00505,0.01477
0.0051,0.01492
0.00515,0.01507
0.0052,0.01522
0.00525,0.01536
0.0053,0.01551
0.00535,0.01566
0.0054,0.01581
0.00545,0.01596
0.0055,0.0161
0.00555,0.01625
0.0056,0.0164
0.00565,0.01655
0.0057,0.0167
0.00575,0.01684
0.0058,0.01699
0.00585,0.01714
0.0059,0.01729
0.00595,0.01744
0.006,0.01758
0.00605,0.01773
0.0061,0.01788
0.00615,0.01803
0.0062,0.01818
0.00625,0.01833
0.0063,0.01847
0.00635,0.01862
0.0064,0.01877
0.00645,0.01892
0.0065,0.01907
0.00655,0.01922
0.0066,0.01936
0.00665,0.01951
0.0067,0.01966
0.00675,0.01981
0.0068,0.01996
0.00685,0.02011
0.0069,0.02026
0.00695,0.0204
0.007,0.02055
0.00705,0.0207
0.0071,0.02085
0.00715,0.021
0.0072,0.02115
0.00725,0.0213
0.0073,0.02144
0.00735,0.02159
0.0074,0.02174
0.00745,0.02189
0.0075,0.02204
0.00755,0.02219
0.0076,0.02234
0.00765,0.02249
0.0077,0.02264
0.00775,0.02278
0.0078,0.02293
0.00785,0.02308
0.0079,0.02323
0.00795,0.02338
0.008,0.02353
0.00805,0.02368
0.0081,0.02383
0.00815,0.02398
0.0082,0.02412
0.00825,0.02427
0.0083,0.02442
0.00835,0.02457
0.0084,0.02472
0.00845,0.02487
0.0085,0.02502
0.00855,0.02517
0.0086,0.02532
0.00865,0.02547
0.0087,0.02562
0.00875,0.02577
0.0088,0.02591
0.00885,0.02606
0.0089,0.02621
0.00895,0.02636
0.009,0.02651
0.00905,0.02666
0.0091,0.02681
0.00915,0.02696
0.0092,0.02711
0.00925,0.02726
0.0093,0.02741
0.00935,0.02756
0.0094,0.02771
0.00945,0.02786
0.0095,0.02801
0.00955,0.02816
0.0096,0.0283
0.00965,0.02845
0.0097,0.0286
0.00975,0.02875
0.0098,0.0289
0.00985,0.02905
0.0099,0.0292
0.00995,0.02935
0.01,0.0295
0.01005,0.02965
0.0101,0.0298
0.01015,0.02995
0.0102,0.0301
0.01025,0.03025
0.0103,0.0304
0.01035,0.03055
0.0104,0.0307
0.01045,0.03085
0.0105,0.031
0.01055,0.03115
0.0106,0.0313
0.01065,0.03145
0.0107,0.0316
0.01075,0.03175
0.0108,0.0319
0.01085,0.03205
0.0109,0.0322
0.01095,0.03235
0.011,0.03249
0.01105,0.03264
0.0111,0.03279
0.01115,0.03294
0.0112,0.03309
0.01125,0.03324
0.0113,0.03339
0.01135,0.03354
0.0114,0.03369
0.01145,0.03384
0.0115,0.03399
0.01155,0.03414
0.0116,0.03429
0.01165,0.03444
0.0117,0.03459
0.01175,0.03474
0.0118,0.03489
0.01185,0.03504
0.0119,0.03519
0.01195,0.03534
0.012,0.03549
0.01205,0.03564
0.0121,0.03579
0.01215,0.03594
0.0122,0.03609
0.01225,0.03624
0.0123,0.03639
0.01235,0.03654
0.0124,0.03669
0.01245,0.03684
0.0125,0.03699
0.01255,0.03714
0.0126,0.03729
0.01265,0.03744
0.0127,0.03759
0.01275,0.03774
0.0128,0.03789
0.01285,0.03804
0.0129,0.03819
0.01295,0.03834
0.013,0.03849
0.01305,0.03864
0.0131,0.03879
0.01315,0.03894
0.0132,0.03909
0.01325,0.03924
0.0133,0.03939
0.01335,0.03954
0.0134,0.03969
0.01345,0.03984
0.0135,0.03999
0.01355,0.04014
0.0136,0.0403
0.01365,0.04045
0.0137,0.0406
0.01375,0.04075
0.0138,0.0409
0.01385,0.04105
0.0139,0.0412
0.01395,0.04135
0.014,0.0415
0.01405,0.04165
0.0141,0.0418
0.01415,0.04195
0.0142,0.0421
0.01425,0.04225
0.0143,0.0424
0.01435,0.04255
0.0144,0.0427
0.01445,0.04285
0.0145,0.043
0.01455,0.04315
0.0146,0.0433
0.01465,0.04345
0.0147,0.0436
0.01475,0.04375
0.0148,0.0439
0.01485,0.04405
0.0149,0.0442
0.01495,0.04435
0.015,0.0445
0.01505,0.04465
0.0151,0.0448
0.01515,0.04495
0.0152,0.0451
0.01525,0.04525
0.0153,0.0454
0.01535,0.04555
0.0154,0.0457
0.01545,0.04585
0.0155,0.046
0.01555,0.04615
0.0156,0.0463
0.01565,0.04645
0.0157,0.0466
0.01575,0.04675
0.0158,0.0469
0.01585,0.04705
0.0159,0.0472
0.01595,0.04735
0.016,0.0475
0.01605,0.04765
0.0161,0.0478
0.01615,0.04795
0.0162,0.0481
0.01625,0.04825
0.0163,0.0484
0.01635,0.04855
0.0164,0.0487
0.01645,0.04885
0.0165,0.049
0.01655,0.04915
0.0166,0.0493
0.01665,0.04945
0.0167,0.0496
0.01675,0.04975
0.0168,0.0499
0.01685,0.05005
0.0169,0.0502
0.01695,0.05035
0.017,0.0505
0.01705,0.05065
0.0171,0.05081
0.01715,0.05096
0.0172,0.05111
0.01725,0.05126
0.0173,0.05141
0.01735,0.05156
0.0174,0.05171
0.01745,0.05186
0.0175,0.05201
0.01755,0.05216
0.0176,0.05231
0.01765,0.05245
0.0177,0.0526
0.01775,0.05275
0.0178,0.0529
0.01785,0.05305
0.0179,0.0532
0.01795,0.05335
0.018,0.0535
0.01805,0.05365
0.0181,0.0538
0.01815,0.05395
0.0182,0.0541
0.01825,0.05425
0.0183,0.0544
0.01835,0.05455
0.0184,0.0547
0.01845,0.05485
0.0185,0.055
0.01855,0.05515
0.0186,0.0553
0.01865,0.05545
0.0187,0.0556
0.01875,0.05575
0.0188,0.0559
0.01885,0.05605
0.0189,0.0562
0.01895,0.05635
0.019,0.0565
0.01905,0.05665
0.0191,0.0568
0.01915,0.05695
0.0192,0.0571
0.01925,0.05725
0.0193,0.0574
0.01935,0.05755
0.0194,0.0577
0.01945,0.05785
0.0195,0.058
0.01955,0.05815
0.0196,0.0583
0.01965,0.05845
0.0197,0.0586
0.01975,0.05874
0.0198,0.05889
0.01985,0.05904
0.0199,0.05919
0.01995,0.05934
0.02,0.05949
0.02005,0.05964
0.0201,0.05979
0.02015,0.05994
0.0202,0.06009
0.02025,0.06024
0.0203,0.06039
0.02035,0.06054
0.0204,0.06069
0.02045,0.06084
0.0205,0.06099
0.02055,0.06114
0.0206,0.06128
0.02065,0.06143
0.0207,0.06158
0.02075,0.06173
0.0208,0.06188
0.02085,0.06203
0.0209,0.06218
0.02095,0.06233
0.021,0.06248
0.02105,0.06263
0.0211,0.06278
0.02115,0.06293
0.0212,0.06307
0.02125,0.06322
0.0213,0.06337
0.02135,0.06352
0.0214,0.06367
0.02145,0.06382
0.0215,0.06397
0.02155,0.06412
0.0216,0.06427
0.02165,0.06442
0.0217,0.06456
0.02175,0.06471
0.0218,0.06486
0.02185,0.06501
0.0219,0.06516
0.02195,0.06531
0.022,0.06546
0.02205,0.06561
0.0221,0.06575
0.02215,0.0659
0.0222,0.06605
0.02225,0.0662
0.0223,0.06635
0.02235,0.0665
0.0224,0.06665
0.02245,0.0668
0.0225,0.06694
0.02255,0.06709
0.0226,0.06724
0.02265,0.06739
0.0227,0.06754
0.02275,0.06769
0.0228,0.06784
0.02285,0.06798
0.0229,0.06813
0.02295,0.06828
0.023,0.06843
0.02305,0.06858
0.0231,0.06873
0.02315,0.06887
0.0232,0.06902
0.02325,0.06917
0.0233,0.06932
0.02335,0.06947
0.0234,0.06961
0.02345,0.06976
0.0235,0.06991
0.02355,0.07006
0.0236,0.07021
0.02365,0.07036
0.0237,0.0705
0.02375,0.07065
0.0238,0.0708
0.02385,0.07095
0.0239,0.0711
0.02395,0.07124
0.024,0.07139
0.02405,0.07154
0.0241,0.07169
0.02415,0.07183
0.0242,0.07198
0.02425,0.07213
0.0243,0.07228
0.02435,0.07243
0.0244,0.07257
0.02445,0.07272
0.0245,0.07287
0.02455,0.07302
0.0246,0.07316
0.02465,0.07331
0.0247,0.07346
0.02475,0.07361
0.0248,0.07375
0.02485,0.0739
0.0249,0.07405
0.02495,0.0742
0.025,0.07434
0.02505,0.07449
0.0251,0.07464
0.02515,0.07479
0.0252,0.07493
0.02525,0.07508
0.0253,0.07523
0.02535,0.07537
0.0254,0.07552
0.02545,0.07567
0.0255,0.07582
0.02555,0.07596
0.0256,0.07611
0.02565,0.07626
0.0257,0.0764
0.02575,0.07655
0.0258,0.0767
0.02585,0.07685
0.0259,0.07699
0.02595,0.07714
0.026,0.07729
0.02605,0.07743
0.0261,0.07758
0.02615,0.07773
0.0262,0.07787
0.02625,0.07802
0.0263,0.07817
0.02635,0.07831
0.0264,0.07846
0.02645,0.07861
0.0265,0.07875
0.02655,0.0789
0.0266,0.07904
0.02665,0.07919
0.0267,0.07934
0.02675,0.07948
0.0268,0.07963
0.02685,0.07978
0.0269,0.07992
0.02695,0.08007
0.027,0.08022
0.02705,0.08036
0.0271,0.08051
0.02715,0.08065
0.0272,0.0808
0.02725,0.08095
0.0273,0.08109
0.02735,0.08124
0.0274,0.08138
0.02745,0.08153
0.0275,0.08167
0.02755,0.08182
0.0276,0.08197
0.02765,0.08211
0.0277,0.08226
0.02775,0.0824
0.0278,0.08255
0.02785,0.08269
0.0279,0.08284
0.02795,0.08299
0.028,0.08313
0.02805,0.08328
0.0281,0.08342
0.02815,0.08357
0.0282,0.08371
0.02825,0.08386
0.0283,0.084
0.02835,0.08415
0.0284,0.08429
