x,y
0.0,0.0
5e-05,0.00268
0.0001,0.00535
0.00015,0.00802
0.0002,0.01069
0.00025,0.01335
0.0003,0.01602
0.00035,0.01868
0.0004,0.02133
0.00045,0.02399
0.0005,0.02664
0.00055,0.02929
0.0006,0.03194
0.00065,0.03459
0.0007,0.03723
0.00075,0.03987
0.0008,0.04251
0.00085,0.04515
0.0009,0.04778
0.00095,0.05041
0.001,0.05304
0.00105,0.05567
0.0011,0.05829
0.00115,0.06091
0.0012,0.06353
0.00125,0.06615
0.0013,0.06876
0.00135,0.07137
0.0014,0.07398
0.00145,0.07659
0.0015,0.07919
0.00155,0.08179
0.0016,0.08439
0.00165,0.08699
0.0017,0.08958
0.00175,0.09217
0.0018,0.09476
0.00185,0.09735
0.0019,0.09993
0.00195,0.10251
0.002,0.10509
0.00205,0.10767
0.0021,0.11024
0.00215,0.11281
0.0022,0.11538
0.00225,0.11794
0.0023,0.12051
0.00235,0.12307
0.0024,0.12562
0.00245,0.12818
0.0025,0.13073
0.00255,0.13328
0.0026,0.13583
0.00265,0.13837
0.0027,0.14091
0.00275,0.14345
0.0028,0.14599
0.00285,0.14852
0.0029,0.15106
0.00295,0.15359
0.003,0.15611
0.00305,0.15863
0.0031,0.16116
0.00315,0.16367
0.0032,0.16619
0.00325,0.1687
0.0033,0.17121
0.00335,0.17372
0.0034,0.17622
0.00345,0.17873
0.0035,0.18123
0.00355,0.18372
0.0036,0.18622
0.00365,0.18871
0.0037,0.1912
0.00375,0.19368
0.0038,0.19617
0.00385,0.19865
0.0039,0.20113
0.00395,0.2036
0.004,0.20607
0.00405,0.20854
0.0041,0.21101
0.00415,0.21347
0.0042,0.21594
0.00425,0.21839
0.0043,0.22085
0.00435,0.2233
0.0044,0.22575
0.00445,0.2282
0.0045,0.23065
0.00455,0.23309
0.0046,0.23553
0.00465,0.23797
0.0047,0.2404
0.00475,0.24283
0.0048,0.24526
0.00485,0.24768
0.0049,0.25011
0.00495,0.25253
0.005,0.25495
0.00505,0.25736
0.0051,0.25977
0.00515,0.26218
0.0052,0.26459
0.00525,0.26699
0.0053,0.26939
0.00535,0.27179
0.0054,0.27418
0.00545,0.27657
0.0055,0.27896
0.00555,0.28135
0.0056,0.28373
0.00565,0.28611
0.0057,0.28849
0.00575,0.29087
0.0058,0.29324
0.00585,0.29561
0.0059,0.29797
0.00595,0.30034
0.006,0.3027
0.00605,0.30506
0.0061,0.30741
0.00615,0.30976
0.0062,0.31211
0.00625,0.31446
0.0063,0.3168
0.00635,0.31914
0.0064,0.32148
0.00645,0.32381
0.0065,0.32614
0.00655,0.32847
0.0066,0.3308
0.00665,0.33312
0.0067,0.33544
0.00675,0.33776
0.0068,0.34007
0.00685,0.34239
0.0069,0.34469
0.00695,0.347
0.007,0.3493
0.00705,0.3516
0.0071,0.3539
0.00715,0.35619
0.0072,0.35848
0.00725,0.36077
0.0073,0.36305
0.00735,0.36534
0.0074,0.36762
0.00745,0.36989
0.0075,0.37216
0.00755,0.37443
0.0076,0.3767
0.00765,0.37896
0.0077,0.38123
0.00775,0.38348
0.0078,0.38574
0.00785,0.38799
0.0079,0.39024
0.00795,0.39249
0.008,0.39473
0.00805,0.39697
0.0081,0.39921
0.00815,0.40144
0.0082,0.40367
0.00825,0.4059
0.0083,0.40812
0.00835,0.41035
0.0084,0.41256
0.00845,0.41478
0.0085,0.41699
0.00855,0.4192
0.0086,0.42141
0.00865,0.42361
0.0087,0.42581
0.00875,0.42801
0.0088,0.43021
0.00885,0.4324
0.0089,0.43459
0.00895,0.43677
0.009,0.43895
0.00905,0.44113
0.0091,0.44331
0.00915,0.44548
0.0092,0.44765
0.00925,0.44982
0.0093,0.45198
0.00935,0.45414
0.0094,0.4563
0.00945,0.45845
0.0095,0.46061
0.00955,0.46275
0.0096,0.4649
0.00965,0.46704
0.0097,0.46918
0.00975,0.47131
0.0098,0.47345
0.00985,0.47558
0.0099,0.4777
0.00995,0.47983
0.01,0.48195
0.01005,0.48406
0.0101,0.48618
0.01015,0.48829
0.0102,0.4904
0.01025,0.4925
0.0103,0.4946
0.01035,0.4967
0.0104,0.49879
0.01045,0.50089
0.0105,0.50297
0.01055,0.50506
0.0106,0.50714
0.01065,0.50922
0.0107,0.5113
0.01075,0.51337
0.0108,0.51544
0.01085,0.51751
0.0109,0.51957
0.01095,0.52163
0.011,0.52369
0.01105,0.52574
0.0111,0.52779
0.01115,0.52984
0.0112,0.53188
0.01125,0.53392
0.0113,0.53596
0.01135,0.53799
0.0114,0.54003
0.01145,0.54205
0.0115,0.54408
0.01155,0.5461
0.0116,0.54812
0.01165,0.55013
0.0117,0.55214
0.01175,0.55415
0.0118,0.55616
0.01185,0.55816
0.0119,0.56016
0.01195,0.56215
0.012,0.56415
0.01205,0.56614
0.0121,0.56812
0.01215,0.5701
0.0122,0.57208
0.01225,0.57406
0.0123,0.57603
0.01235,0.578
0.0124,0.57997
0.01245,0.58193
0.0125,0.58389
0.01255,0.58585
0.0126,0.5878
0.01265,0.58975
0.0127,0.5917
0.01275,0.59364
0.0128,0.59558
0.01285,0.59752
0.0129,0.59945
0.01295,0.60138
0.013,0.60331
0.01305,0.60523
0.0131,0.60715
0.01315,0.60907
0.0132,0.61098
0.01325,0.61289
0.0133,0.6148
0.01335,0.6167
0.0134,0.6186
0.01345,0.6205
0.0135,0.62239
0.01355,0.62428
0.0136,0.62617
0.01365,0.62805
0.0137,0.62993
0.01375,0.63181
0.0138,0.63368
0.01385,0.63555
0.0139,0.63742
0.01395,0.63928
0.014,0.64114
0.01405,0.643
0.0141,0.64485
0.01415,0.6467
0.0142,0.64855
0.01425,0.65039
0.0143,0.65223
0.01435,0.65407
0.0144,0.6559
0.01445,0.65773
0.0145,0.65956
0.01455,0.66138
0.0146,0.6632
0.01465,0.66501
0.0147,0.66683
0.01475,0.66864
